	logFC	AveExpr	t	P.Value	adj.P.Val	B
219464_at	0.0374100000000022	6.1768125	0.254275462848356	0.804849809161219	0.999986929681082	-4.81781358408007
216777_at	0.0312750000000008	4.45531	0.254261468724379	0.80486029630498	0.999986929681082	-4.81781505150387
203168_at	0.0276649999999998	7.984185	0.254251925705274	0.804867447831078	0.999986929681082	-4.81781605213957
1569276_at	-0.0308124999999997	6.79373625	-0.254250040647694	0.804868860493033	0.999986929681082	-4.81781624979341
223651_x_at	-0.0683699999999998	7.3470025	-0.254246225998445	0.804871719193066	0.999986929681082	-4.81781664976626
229399_at	-0.0767199999999999	6.1201175	-0.254215081707364	0.804895058854338	0.999986929681082	-4.81781991508186
202168_at	0.0602250000000026	11.1411375	0.254190039334083	0.804913825860533	0.999986929681082	-4.8178225403598
202092_s_at	0.0367474999999988	10.16452625	0.254185807747546	0.804916997066992	0.999986929681082	-4.81782298394657
1560863_a_at	0.0290100000000004	3.5838675	0.254168643072971	0.804929860537777	0.999986929681082	-4.81782478320302
217066_s_at	-0.0282675000000001	7.06753125	-0.25415811423553	0.804937751040844	0.999986929681082	-4.81782588681089
213922_at	0.0478950000000022	6.2107375	0.254154209515846	0.804940677314994	0.999986929681082	-4.81782629608303
222317_at	0.022135	2.7827525	0.254137852986942	0.804952935255951	0.999986929681082	-4.81782801042137
1568627_at	0.0262150000000005	5.2658925	0.254126671321885	0.804961315072886	0.999986929681082	-4.81782918231684
1552663_a_at	0.0267200000000001	7.1627375	0.253999442848464	0.805056665089421	0.999986929681082	-4.81784251295976
212154_at	0.0475550000000027	10.3727225	0.253990614846848	0.805063281266497	0.999986929681082	-4.81784343769094
204076_at	-0.0479074999999991	9.94186125	-0.253953421722539	0.805091155964513	0.999986929681082	-4.81784733331734
241358_at	-0.0292899999999996	5.4292275	-0.253871388343977	0.805152637590288	0.999986929681082	-4.81785592356295
1564070_s_at	0.0247000000000002	4.7907075	0.253869933530977	0.805153727942938	0.999986929681082	-4.81785607588135
234829_at	-0.0248925000000009	5.26776875	-0.253865326646916	0.805157180711438	0.999986929681082	-4.81785655821482
202264_s_at	0.052092499999997	9.03012625	0.253864811405827	0.805157566874721	0.999986929681082	-4.81785661215921
227501_at	0.0563400000000005	6.8104625	0.253863797868496	0.805158326501613	0.999986929681082	-4.81785671827361
211749_s_at	-0.0469500000000007	10.761125	-0.253850107802456	0.805168586965988	0.999986929681082	-4.81785815154293
202362_at	-0.0340749999999996	11.3493875	-0.253798677417737	0.805207133487861	0.999986929681082	-4.81786353532636
203077_s_at	0.059727500000001	8.74090875	0.253781453206861	0.805220042973004	0.999986929681082	-4.81786533813539
1555811_at	0.0258125000000016	7.06579625	0.253760382646151	0.805235835368199	0.999986929681082	-4.81786754336825
228017_s_at	0.0507975000000016	5.98842625	0.253712275037788	0.805271892391653	0.999986929681082	-4.81787257761226
211225_at	0.0318825	6.94994375	0.253710122171993	0.805273505992491	0.999986929681082	-4.81787280287813
1566087_at	-0.0290824999999995	2.79487125	-0.253708484774645	0.805274733243692	0.999986929681082	-4.81787297420653
1569557_at	0.0239049999999992	4.8318075	0.25370204422067	0.805279560530436	0.999986929681082	-4.81787364810077
234076_at	-0.0302475000000006	4.86498625	-0.253694132565284	0.805285490440477	0.999986929681082	-4.81787447589781
200900_s_at	-0.0331274999999973	9.75904625	-0.253656888571872	0.805313405574778	0.999986929681082	-4.81787837240039
226792_s_at	0.0384975000000018	7.27767625	0.253631805308624	0.805332206156825	0.999986929681082	-4.81788099632049
1555323_at	0.0239249999999993	5.7568175	0.253616306316421	0.80534382313513	0.999986929681082	-4.81788261751851
204640_s_at	0.0360525000000038	9.18373125	0.253586626593962	0.805366069153533	0.999986929681082	-4.81788572175377
224720_at	0.0622249999999998	8.61815	0.253584150446926	0.805367925123035	0.999986929681082	-4.8178859807207
243444_at	-0.0654250000000003	6.03751	-0.253578642035524	0.80537205389843	0.999986929681082	-4.81788655680702
1563065_at	0.0345975000000003	5.74164875	0.253574213918968	0.805375372954088	0.999986929681082	-4.81788701990397
227552_at	0.0345375000000008	5.86608875	0.253572919723801	0.80537634300742	0.999986929681082	-4.81788715525073
1562056_at	-0.0606100000000005	6.1889525	-0.253563427846404	0.805383457576685	0.999986929681082	-4.81788814788936
232984_at	0.0383549999999993	4.2456075	0.253539841405907	0.805401136707176	0.999986929681082	-4.81789061434761
1555315_a_at	-0.0322274999999994	3.91185375	-0.253520509328879	0.805415627081803	0.999986929681082	-4.81789263575546
49452_at	0.0301950000000009	6.12148	0.253520388064361	0.805415717975972	0.999986929681082	-4.81789264843469
223405_at	0.0461500000000008	6.5942225	0.253494555314393	0.805435081058134	0.999986929681082	-4.81789534933187
220943_s_at	-0.0707049999999985	5.9635375	-0.253472724740859	0.80545144439537	0.999986929681082	-4.81789763157887
223535_at	-0.0744950000000006	6.7413375	-0.253458863795419	0.805461834065316	0.999986929681082	-4.81789908055243
1566721_at	0.0243475000000011	6.68162125	0.253431081308523	0.80548265894677	0.999986929681082	-4.81790198460082
223510_at	-0.0405075000000004	6.25971125	-0.253399977313694	0.805505973717934	0.999986929681082	-4.81790523547064
204029_at	0.0280875000000016	5.68491375	0.253315074895741	0.805569615461531	0.999986929681082	-4.81791410715903
1553602_at	0.0348075000000003	5.32250125	0.253259514127799	0.805611263902993	0.999986929681082	-4.817919911284
226025_at	0.080562500000001	9.95868125	0.253247404153859	0.805620341644649	0.999986929681082	-4.81792117618054
241936_x_at	-0.0469474999999999	4.79788125	-0.25323134577128	0.80563237919497	0.999986929681082	-4.81792285340036
